X,Y,U,K,KU,H,HU
-0.9,-0.1,0.26,8,0.25,92,0.260869565
-0.9,-0.05,0.21,4,0.5,96,0.197916667
-0.9,0,0.23,1,1,99,0.222222222
-0.9,0.05,0.29,7,0.714285714,93,0.258064516
-0.9,0.1,0.24,3,0.333333333,97,0.237113402
-0.9,0.15,0.19,7,0.428571429,93,0.172043011
-0.9,0.2,0.24,4,0.25,96,0.239583333
-0.9,0.25,0.23,4,0.25,96,0.229166667
-0.9,0.3,0.28,7,0.285714286,93,0.279569892
-0.9,0.35,0.27,4,0.5,96,0.260416667
-0.9,0.4,0.32,4,0.5,96,0.3125
-0.9,0.45,0.24,5,0.4,95,0.231578947
-0.9,0.5,0.37,5,0.6,95,0.357894737
-0.9,0.55,0.29,7,0.571428571,93,0.268817204
-0.9,0.6,0.49,3,0.666666667,97,0.484536082
-0.9,0.65,0.44,5,0.4,95,0.442105263
-0.9,0.7,0.41,4,0.25,96,0.416666667
-0.9,0.75,0.46,6,0.333333333,94,0.468085106
-0.9,0.8,0.47,4,0.5,96,0.46875
-0.9,0.85,0.38,6,0.333333333,94,0.382978723
-0.9,0.9,0.5,5,0.4,95,0.505263158
-0.9,0.95,0.51,4,0.75,96,0.5
-0.9,1,0.48,5,0.4,95,0.484210526
-0.85,-1,0.66,15,0.533333333,85,0.682352941
-0.85,-0.95,0.49,13,0.307692308,87,0.517241379
-0.85,-0.9,0.52,16,0.5,84,0.523809524
-0.85,-0.85,0.51,8,0.5,92,0.510869565
-0.85,-0.8,0.53,13,0.384615385,87,0.551724138
-0.85,-0.75,0.54,10,0.4,90,0.555555556
-0.85,-0.7,0.48,14,0.5,86,0.476744186
-0.85,-0.65,0.5,9,0.666666667,91,0.483516484
-0.85,-0.6,0.4,4,0.5,96,0.395833333
-0.85,-0.55,0.45,6,0.5,94,0.446808511
-0.85,-0.5,0.34,12,0.333333333,88,0.340909091
-0.85,-0.45,0.35,6,0.666666667,94,0.329787234
-0.85,-0.4,0.32,6,0,94,0.340425532
-0.85,-0.35,0.36,14,0.5,86,0.337209302
-0.85,-0.3,0.39,8,0.25,92,0.402173913
-0.85,-0.25,0.26,3,0.333333333,97,0.257731959
-0.85,-0.2,0.27,12,0.333333333,88,0.261363636
-0.85,-0.15,0.22,9,0.444444444,91,0.197802198
-0.85,-0.1,0.23,6,0.5,94,0.212765957
-0.85,-0.05,0.2,8,0.125,92,0.206521739
-0.85,0,0.22,4,0.25,96,0.21875
-0.85,0.05,0.27,7,0.428571429,93,0.258064516
-0.85,0.1,0.21,6,0.333333333,94,0.20212766
-0.85,0.15,0.28,9,0.111111111,91,0.296703297
-0.85,0.2,0.3,4,0.75,96,0.28125
-0.85,0.25,0.27,2,0,98,0.275510204
-0.85,0.3,0.18,3,0.333333333,97,0.175257732
-0.85,0.35,0.28,3,0.666666667,97,0.268041237
-0.85,0.4,0.27,4,0.5,96,0.260416667
-0.85,0.45,0.26,1,1,99,0.252525253
-0.85,0.5,0.32,4,0.25,96,0.322916667
-0.85,0.55,0.39,2,0.5,98,0.387755102
-0.85,0.6,0.47,6,0.833333333,94,0.446808511
-0.85,0.65,0.44,10,0.3,90,0.455555556
-0.85,0.7,0.37,4,1,96,0.34375
-0.85,0.75,0.35,8,0.25,92,0.358695652
-0.85,0.8,0.45,6,0.5,94,0.446808511
-0.85,0.85,0.45,3,0,97,0.463917526
-0.85,0.9,0.43,10,0.4,90,0.433333333
-0.85,0.95,0.46,7,0.571428571,93,0.451612903
-0.85,1,0.56,6,0.333333333,94,0.574468085
-0.8,-1,0.61,7,0.714285714,93,0.602150538
-0.8,-0.95,0.55,13,0.615384615,87,0.540229885
-0.8,-0.9,0.66,15,0.4,85,0.705882353
-0.8,-0.85,0.51,11,0.818181818,89,0.471910112
-0.8,-0.8,0.51,6,0.5,94,0.510638298
-0.8,-0.75,0.5,10,0.5,90,0.5
-0.8,-0.7,0.57,10,0.7,90,0.555555556
-0.8,-0.65,0.45,7,0.571428571,93,0.440860215
-0.8,-0.6,0.51,10,0.3,90,0.533333333
-0.8,-0.55,0.38,12,0.333333333,88,0.386363636
-0.8,-0.5,0.29,2,0.5,98,0.285714286
-0.8,-0.45,0.53,9,0.666666667,91,0.516483516
-0.8,-0.4,0.33,7,0.571428571,93,0.311827957
-0.8,-0.35,0.37,7,0.714285714,93,0.344086022
-0.8,-0.3,0.31,15,0.4,85,0.294117647
-0.8,-0.25,0.25,5,0.2,95,0.252631579
-0.8,-0.2,0.33,7,0,93,0.35483871
-0.8,-0.15,0.24,2,1,98,0.224489796
-0.8,-0.1,0.33,4,0.5,96,0.322916667
-0.8,-0.05,0.27,3,0.666666667,97,0.257731959
-0.8,0,0.31,5,0.4,95,0.305263158
-0.8,0.05,0.28,7,0.714285714,93,0.247311828
-0.8,0.1,0.3,6,0,94,0.319148936
-0.8,0.15,0.31,3,0.333333333,97,0.309278351
-0.8,0.2,0.25,10,0.4,90,0.233333333
-0.8,0.25,0.29,5,0.4,95,0.284210526
-0.8,0.3,0.37,7,0.428571429,93,0.365591398
-0.8,0.35,0.32,7,0.714285714,93,0.290322581
-0.8,0.4,0.32,5,0.6,95,0.305263158
-0.8,0.45,0.34,4,0.25,96,0.34375
-0.8,0.5,0.35,3,0.666666667,97,0.340206186
-0.8,0.55,0.33,5,0.4,95,0.326315789
-0.8,0.6,0.38,5,0,95,0.4
-0.8,0.65,0.35,5,0.4,95,0.347368421
-0.8,0.7,0.42,2,0.5,98,0.418367347
-0.8,0.75,0.48,6,0.5,94,0.478723404
-0.8,0.8,0.47,4,0.5,96,0.46875
-0.8,0.85,0.38,6,0.5,94,0.372340426
-0.8,0.9,0.48,5,0.2,95,0.494736842
-0.8,0.95,0.48,1,0,99,0.484848485
-0.8,1,0.47,5,0.6,95,0.463157895
-0.75,-1,0.56,13,0.307692308,87,0.597701149
-0.75,-0.95,0.56,17,0.470588235,83,0.578313253
-0.75,-0.9,0.55,11,0.636363636,89,0.539325843
-0.75,-0.85,0.51,11,0.363636364,89,0.528089888
-0.75,-0.8,0.54,9,0.333333333,91,0.56043956
-0.75,-0.75,0.52,7,0.428571429,93,0.52688172
-0.75,-0.7,0.49,9,0.555555556,91,0.483516484
-0.75,-0.65,0.49,8,0.375,92,0.5
-0.75,-0.6,0.44,5,0.6,95,0.431578947
