XY,ST,U,K,KU,H,HU
0.7,2.0,0.18681318681318682,36.0,0.027777777777777776,55.0,0.2909090909090909
0.7,3.0,0.41,31.0,0.4838709677419355,69.0,0.37681159420289856
0.7,4.0,0.53,46.0,0.6086956521739131,54.0,0.46296296296296297
0.7,5.0,0.51,54.0,0.5740740740740741,46.0,0.43478260869565216
0.7,6.0,0.49,57.0,0.6140350877192983,43.0,0.32558139534883723
0.7,7.0,0.53,52.0,0.6538461538461539,48.0,0.3958333333333333
0.7,8.0,0.44,64.0,0.46875,36.0,0.3888888888888889
0.7,9.0,0.45,63.0,0.5079365079365079,37.0,0.35135135135135137
0.7,10.0,0.52,63.0,0.6349206349206349,37.0,0.32432432432432434
0.8,2.0,0.16853932584269662,28.0,0.14285714285714285,61.0,0.18032786885245902
0.8,3.0,0.42,30.0,0.4666666666666667,70.0,0.4
0.8,4.0,0.44,29.0,0.41379310344827586,71.0,0.4507042253521127
0.8,5.0,0.43,36.0,0.5555555555555556,64.0,0.359375
0.8,6.0,0.51,35.0,0.7142857142857143,65.0,0.4
0.8,7.0,0.5,45.0,0.5777777777777777,55.0,0.43636363636363634
0.8,8.0,0.49,49.0,0.5918367346938775,51.0,0.39215686274509803
0.8,9.0,0.33,53.0,0.3584905660377358,47.0,0.2978723404255319
0.8,10.0,0.43,48.0,0.4791666666666667,52.0,0.38461538461538464
0.9,2.0,0.18085106382978725,27.0,0.07407407407407407,67.0,0.22388059701492538
0.9,3.0,0.37,33.0,0.5151515151515151,67.0,0.29850746268656714
0.9,4.0,0.45,24.0,0.5833333333333334,76.0,0.40789473684210525
0.9,5.0,0.47,28.0,0.5,72.0,0.4583333333333333
0.9,6.0,0.47,29.0,0.6206896551724138,71.0,0.4084507042253521
0.9,7.0,0.41,30.0,0.43333333333333335,70.0,0.4
0.9,8.0,0.4,31.0,0.3870967741935484,69.0,0.4057971014492754
0.9,9.0,0.48,38.0,0.5,62.0,0.46774193548387094
0.9,10.0,0.48,35.0,0.42857142857142855,65.0,0.5076923076923077
1.0,2.0,0.13541666666666666,35.0,0.05714285714285714,61.0,0.18032786885245902
1.0,3.0,0.4,27.0,0.5185185185185185,73.0,0.3561643835616438
1.0,4.0,0.46,25.0,0.56,75.0,0.4266666666666667
1.0,5.0,0.47,22.0,0.45454545454545453,78.0,0.47435897435897434
1.0,6.0,0.37,25.0,0.32,75.0,0.38666666666666666
1.0,7.0,0.45,14.0,0.42857142857142855,86.0,0.45348837209302323
1.0,8.0,0.42,21.0,0.3333333333333333,79.0,0.4430379746835443
1.0,9.0,0.58,18.0,0.2777777777777778,82.0,0.6463414634146342
1.0,10.0,0.41,24.0,0.3333333333333333,76.0,0.4342105263157895
